id	name	QOL	PPI	SI	HI	COLI	PPIR	TI	PI	CI
666	Saint Pierre and Miquelon	no data	no data	no data	no data	no data	no data	no data	no data	no data
670	Saint Vincent and the Grenadines	no data	no data	no data	no data	no data	no data	no data	no data	no data
674	San Marino	no data	no data	no data	no data	no data	no data	no data	no data	no data
678	Sao Tome and Principe	no data	no data	no data	no data	no data	no data	no data	no data	no data
682	Saudi Arabia	149.54	91.85	75.28	60.92	50.41	2.79	28.33	63.8	45.98
686	Senegal	no data	no data	no data	no data	no data	no data	no data	no data	no data
688	Serbia	117.23	37.83	61.71	52.49	36.21	16.52	30.85	62.9	83.23
690	Seychelles	no data	no data	no data	no data	no data	no data	no data	no data	no data
694	Sierra Leone	no data	no data	no data	no data	no data	no data	no data	no data	no data
702	Singapore	151.59	91.34	72.36	71.07	83.98	17.49	41.22	33.31	57.45
703	Slovakia	151.16	54.7	69.82	60.33	44.68	11.18	28.21	39.08	78.13
704	Viet Nam	no data	no data	no data	no data	no data	no data	no data	no data	no data
705	Slovenia	169.04	59.48	77.35	65.25	53.88	11.5	26.48	22.88	77.56
706	Somalia	no data	no data	no data	no data	no data	no data	no data	no data	no data
710	South Africa	136.02	78.36	23.94	63.97	42.09	3.07	39.27	56.57	95.25
716	Zimbabwe	no data	no data	no data	no data	no data	no data	no data	no data	no data
724	Spain	168.48	70.04	66.13	78.37	53.88	8.78	29.24	39.66	93.83
728	South Sudan	no data	no data	no data	no data	no data	no data	no data	no data	no data
729	Sudan	no data	no data	no data	no data	no data	no data	no data	no data	no data
732	Western Sahara	no data	no data	no data	no data	no data	no data	no data	no data	no data
740	Suriname	no data	no data	no data	no data	no data	no data	no data	no data	no data
744	Svalbard and Jan Mayen	no data	no data	no data	no data	no data	no data	no data	no data	no data
748	Swaziland	no data	no data	no data	no data	no data	no data	no data	no data	no data
752	Sweden	175.3	98.14	51	68.71	71.74	7.81	29.43	18.32	74.92
756	Switzerland	195.27	118.44	78.32	74.85	123.35	8.29	28.5	19.59	80.21
760	Syrian Arab Republic	no data	no data	no data	no data	no data	no data	no data	no data	no data
762	Tajikistan	no data	no data	no data	no data	no data	no data	no data	no data	no data
764	Thailand	100.97	31.56	60.69	77.65	43.21	21.74	39.62	75.52	69.45
768	Togo	no data	no data	no data	no data	no data	no data	no data	no data	no data
772	Tokelau	no data	no data	no data	no data	no data	no data	no data	no data	no data
776	Tonga	no data	no data	no data	no data	no data	no data	no data	no data	no data
780	Trinidad and Tobago	no data	no data	no data	no data	no data	no data	no data	no data	no data
784	United Arab Emirates	160.38	92.17	84.86	68.73	58.33	4.42	36.19	49.71	45.23
788	Tunisia	114.56	27.83	55.71	56.54	27.87	11.75	32.7	70.84	93.24
792	Turkey	124.05	32.88	60.31	70.83	28.31	10.27	44.18	65.49	93.8
795	Turkmenistan	no data	no data	no data	no data	no data	no data	no data	no data	no data
796	Turks and Caicos Islands	no data	no data	no data	no data	no data	no data	no data	no data	no data
798	Tuvalu	no data	no data	no data	no data	no data	no data	no data	no data	no data
800	Uganda	no data	no data	no data	no data	no data	no data	no data	no data	no data
804	Ukraine	111.93	37.22	53.06	54.34	30.71	10.92	37.71	62.91	70.69
807	"Macedonia, the former Yugoslav Republic of"	109.6	35.44	59.13	55.83	31.38	12.49	26.3	79.69	76.3
818	Egypt	89.87	21.54	53.43	47.01	29.52	12.04	48.36	83.64	91.98
826	United Kingdom	161.74	88.78	53.53	74.83	69.65	8.86	34.4	40.2	88.06
831	Guernsey	no data	no data	no data	no data	no data	no data	no data	no data	no data
832	Jersey	no data	no data	no data	no data	no data	no data	no data	no data	no data
833	Isle of Man	no data	no data	no data	no data	no data	no data	no data	no data	no data
834	"Tanzania, United Republic of"	no data	no data	no data	no data	no data	no data	no data	no data	no data
840	United States	170.72	106.34	51.84	69.06	70.13	3.96	32.85	35.33	76.78
850	"Virgin Islands, U.S."	no data	no data	no data	no data	no data	no data	no data	no data	no data
854	Burkina Faso	no data	no data	no data	no data	no data	no data	no data	no data	no data
858	Uruguay	122.26	30.07	48.56	68.36	52.07	20.08	37.31	45.19	98.04
860	Uzbekistan	no data	no data	no data	no data	no data	no data	no data	no data	no data
862	"Venezuela, Bolivarian Republic of"	77.43	15.41	16.42	39.31	43.2	14.35	34.1	75.38	99.93
876	Wallis and Futuna	no data	no data	no data	no data	no data	no data	no data	no data	no data
882	Samoa	no data	no data	no data	no data	no data	no data	no data	no data	no data
887	Yemen	no data	no data	no data	no data	no data	no data	no data	no data	no data
894	Zambia	no data	no data	no data	no data	no data	no data	no data	no data	no data
